WaveNumber,Molar Abs (M^-1cm^-1)
25000,19.71744799
25062.65664,19.14802798
25125.62814,18.67789613
25188.91688,18.2159601
25252.52525,19.29822858
25316.4557,18.57771468
25380.71066,19.21383508
25445.29262,20.1114931
25510.20408,20.21250593
25575.44757,19.95462462
25641.02564,20.62017444
25706.94087,21.06978501
25773.19588,21.13044627
25839.79328,22.70008182
25906.73575,22.66242788
25974.02597,22.11663651
26041.66667,22.50718403
26109.66057,22.72432
26178.01047,23.18913846
26246.71916,24.15691114
26315.78947,24.52167964
26385.22427,25.91295885
26455.02646,25.5562565
26525.19894,25.17023979
26595.74468,25.26396072
26666.66667,26.23370939
26737.96791,26.61357657
26809.65147,25.7255925
26881.72043,27.23340904
26954.1779,28.15460902
27027.02703,27.47793132
27100.271,29.33594356
27173.91304,29.51304857
27247.9564,28.76345924
27322.40437,29.86841032
27397.26027,28.990197
27472.52747,29.33701498
27548.20937,30.14008603
27624.30939,30.53918013
27700.83102,30.1200266
27777.77778,30.7340792
27855.1532,31.80749823
27932.96089,32.92484525
28011.20448,33.22410201
28089.88764,31.70106851
28169.01408,31.96486386
28248.58757,34.30905288
28328.6119,33.5885558
28409.09091,34.15979618
28490.02849,34.03577602
28571.42857,34.63964186
28653.29513,34.56119415
28735.63218,34.35102611
28818.4438,36.39364107
28901.7341,35.59605226
28985.50725,37.34702042
29069.76744,38.25206547
29154.51895,39.12016577
29239.76608,37.75521297
29325.5132,40.39161639
29411.76471,39.7316057
29498.52507,38.98309635
29585.79882,39.33914956
29673.5905,37.74504805
29761.90476,39.16229757
29850.74627,40.01915623
29940.11976,38.88055642
30030.03003,41.27128654
30120.48193,41.65511203
30211.48036,40.1380992
30303.0303,41.41493164
30395.13678,41.94311183
30487.80488,41.73605426
30581.03976,44.02461951
30674.84663,43.37401805
30769.23077,43.62407326
30864.19753,45.47572802
30959.75232,44.26528408
31055.90062,43.61240292
31152.64798,46.89861864
31250,47.1956559
31347.96238,50.71431911
31446.54088,52.69314742
31545.74132,55.0427413
31645.56962,58.99300549
31746.03175,63.84224681
31847.13376,65.83233301
31948.88179,74.55358725
32051.28205,81.9201219
32154.34084,90.60993509
32258.06452,102.3254875
32362.45955,114.7574809
32467.53247,130.0151929
32573.2899,148.3496481
32679.73856,168.1608107
32786.88525,190.7015539
32894.73684,215.7487514
33003.30033,243.1872725
33112.58278,277.0445856
33222.59136,312.6996517
33333.33333,355.4937648
33444.81605,402.8859969
33557.04698,454.2651148
33670.03367,513.2930905
33783.78378,579.137912
33898.30508,652.6332751
34013.60544,731.157231
34129.69283,815.378703
34246.57534,905.0759367
34364.26117,992.1609393
34482.75862,1082.169594
34602.07612,1169.487374
34722.22222,1255.603837
34843.20557,1332.480178
34965.03497,1399.956517
35087.7193,1455.905487
35211.26761,1503.58833
35335.68905,1539.127419
35460.99291,1563.89565
35587.18861,1578.404429
35714.28571,1580.352464
35842.29391,1573.412465
35971.22302,1556.283404
36101.08303,1528.704802
36231.88406,1492.24586
36363.63636,1446.38953
36496.35036,1398.715932
36630.03663,1343.989964
36764.70588,1283.287219
36900.369,1223.249145
37037.03704,1161.518174
37174.72119,1100.616035
37313.43284,1041.025015
37453.18352,980.163949
37593.98496,922.7009267
37735.84906,868.5864218
37878.78788,818.4756612
38022.81369,774.5595826
38167.93893,737.0732694
38314.17625,707.5945306
38461.53846,686.2129349
38610.03861,672.7891214
38759.68992,673.1484931
38910.50584,685.6515881
39062.5,713.7385054
39215.68627,760.0141953
39370.07874,826.9286425
39525.6917,916.9410709
39682.53968,1035.469531
39840.63745,1183.19777
40000,1361.203501
40160.64257,1573.10309
40322.58065,1824.199126
40485.82996,2112.859065
40650.4065,2452.21497
40816.32653,2836.596952
40983.60656,3256.79853
41152.26337,3729.416712
41322.31405,4241.106476
41493.77593,4786.016051
41666.66667,5351.52414
41841.00418,5925.532825
42016.80672,6492.409508
42194.09283,7034.392061
42372.88136,7544.211565
42553.19149,8010.673118
42735.04274,8415.820605
42918.45494,8741.136414
43103.44828,8982.767422
43290.04329,9133.104072
43478.26087,9187.990604
43668.12227,9159.00724
43859.64912,9050.959228
44052.86344,8865.836029
44247.78761,8618.846934
44444.44444,8319.613306
44642.85714,7969.405734
44843.04933,7587.990449
45045.04505,7196.279838
45248.86878,6797.155042
45454.54545,6406.030783
45662.10046,6030.079641
45871.55963,5711.803567
46082.94931,5443.224756
46296.2963,5206.948488
46511.62791,5015.066314
46728.97196,4878.03245
46948.35681,4795.013717
47169.81132,4783.011381
47393.36493,4864.259247
47619.04762,5079.862218
47846.88995,5498.778191
48076.92308,6223.922371
48309.17874,7357.702726
48543.68932,9021.333789
48780.4878,11478.56082
49019.60784,14689.83787
49261.08374,18624.24431
49504.9505,23029.79232
49751.24378,27189.81157
50000,30475.48799